idx,songname,writer,Songname
3913,星空のワルツ,动漫影视,XK____
3914,in little time-GARNET CROW-柯南歌手,Garnet Crow,In_little_time_GARNET_CROW_KNGS
3915,我们,王俪潼,WM
3916,故乡-小松未步-柯南歌手,小松未步,GX_XSWB_KNGS
3917,梦幻模拟战 - Langrisser 2 《Neo-Holy War》,动漫影视,MHMNZ___Langrisser_2__Neo_Holy_War_
3918,雪人兄弟,动漫影视,XRXD
3919,SECRET-(原版) -根据周杰伦原版手稿修整 -小武Sakura,周杰伦,SECRET__YB___GJZJLYBSGXZ__XWSakura
3920,这该死的爱-插曲,影视,ZGSDA_CQ
3921,Graduation-三枝夕夏-柯南歌手,三枝夕夏,Graduation_SZXX_KNGS
3922,Fact not represent truth,Ｓòrγy.,Fact_not_represent_truth
3923,十字架的誓言,『忧伤歌声』,SZJDSY
3924,无法形容的电视背景音乐,综艺其他,WFXRDDSBJYL
3925,不想让你知道,周惠,BXRNZD
3926,玻璃少年（kinkikids近畿小子）,kinkikids,BLSN_kinkikidsJ_XZ_
3927,巨蟹座（Cancer）,ellocz,JXZ_Cancer_
3928,《神秘园之歌》钢琴谱全集(04 Sigma),神秘园,SMYZG_GQPQJ_04_Sigma_
3929,明媚的午后下着小雨的爵士情调,thisisit2009,MMDWHXZXYDJSQD
3930,车尔尼24首钢琴左手练习曲(作品718)(1-10)(08),车尔尼,CEN24SGQZSLXQ_ZP718__1_10__08_
3931,查拉图斯特拉如是说原版扒谱,理查德.施特劳斯,CLTSTLRSSYBBP
3932,潮骚（根据林文信教程编写）,林文信,CS_GJLWXJCBX_
3933,The Truth That You Leave,炎亚纶,The_Truth_That_You_Leave
3934,跳动的音符<DJ>,琳琅,TDDYF_DJ_
3935,F大调小夜曲,yangzhen081,FDDXYQ
3936,7饭,官恩娜,F
3937,狮子王.下弦月版,影视,SZW_XXYB
3938,吻得到 爱不到（古天乐）,古天乐,WDD_ABD_GTL_
3939,天山之春,刘易铭改编,TSZC
3940,天台,银风,TT
3941,加勒比海盗简易版,未知,JLBHDJYB
3942,第三号奏鸣曲 - 幸福的日子,理查德·克莱德曼,DSHZMQ___XFDRZ
3943,天空之城最新版,久石让,TKZCZXB
3944,CCTV-4《午间新闻》结尾音乐,CCTV4,CCTV_4_WJXW_JWYL
3945,仙境传说昆仑背景音乐,仙境传说,XJCSKLBJYL
3946,今天开始做魔王ED ありがとう arigatou,动漫影视,JTKSZMWED_______arigatou
3947,少女画像（sz44七幅素描（op9b），巴托克）,巴托克,SNHX_sz44QFSM_op9b__BTK_
3948,赐给我们平安钢琴版,约翰汤普森,CGWMPAGQB
3949,绿袖子,世界名曲,LXZ
3950,C大调奏鸣曲  第三乐章.舞会.,弗兰克,CDDZMQ__DSLZ_WH_
3951,失恋三十三天,大家都叫我白总,SLSSST
3952,南海之歌,戴维.赫勒韦尔,NHZG
3953,空の向こうに（交响乐之雨-崎律子）,动漫影视,K_X____JXLZY_QLZ_
3954,报答,许志安,BD
3955,偶然的相遇,理查德·克莱德曼,ORDXY
3956,elisa - Epilogue,ELISA,Elisa___Epilogue
3957,回忆――Lamento,游戏,HYDDLamento
3958,《我叫金三》插曲-WFS,韩日剧,WJJS_CQ_WFS
3959,我的心中星,那英,WDXZX
3960,珊瑚海-周杰伦《十一月的肖邦》,周杰伦,SHH_ZJL_SYYDXB_
3961,when your tears are falling down,陈干,When_your_tears_are_falling_down
3962,生化危机维罗妮卡,游戏,SHWJWLNK
3963,落叶的梦（歌曲）,苗波,LYDM_GQ_
3964,黑十字天马骑士曲-暴风雷电,吴大鹏,HSZTMQSQ_BFLD
3965,ROMANの前奏曲,Revo,ROMAN_QZQ
3966,葬礼进行曲,FANTAISIE,ZLJXQ
3967,一人振り向いて （from 遥仰凰A）,游戏,YRZ_X____from_YYHA_
3968,一切都是我愿意,黑键,YQDSWYY
3969,《料理鼠王/美食总动员》主题 Ratatouille Main Theme ,料理鼠王,LLSW_MSZDY_ZT_Ratatouille_Main_Theme_
3970,7-音阶-bG大调音阶 考级,考级曲目,YJ_bGDDYJ_KJ
3971,夜的钢琴曲-忆,石进,YDGQQ_Y
3972,肖斯塔科维奇前奏曲第二册（12-24首）(肖斯塔科维奇前奏曲No.24 d小调),肖斯塔科维奇,XSTKWQQZQDEC_12_24S__XSTKWQQZQNo_24_dXD_
3973,星星 金亚中,金亚中,XX_JYZ
3974,鳟鱼（节选）,世界名曲,Y_JX_
3975,陪你看海,血腥残阳,PNKH
3976,小汤第一册中(17教堂管风琴),约翰 . 汤普森,XTDYCZ_17JTGFQ_
3977,双鱼座（Pisces）,ellocz,SYZ_Pisces_
3978,C大调小奏鸣曲（第一乐章）,莫扎特,CDDXZMQ_DYLZ_
3979,thank you for playing,dj taka,Thank_you_for_playing
3980,日本人,南山,RBR
3981,快r光,L之音,KrG
3982,天空,蔡依林,TK
3983,思念你我很幸福,潇洒星空,SNNWHXF
3984,紫禁花园,李志辉,ZJHY
3985,新贵妃醉酒,李玉刚,XG_ZJ
3986,高达SEED-D交响组曲第5章 钢琴版,动漫影视,GDSEED_DJXZQD5Z_GQB
3987,小星星,季城,XXX
3988,威廉古堡 简单版（选自2001年专辑《范特西 Fantasy》）,周杰伦,WLGB_JDB_XZ2001NZJ_FTX_Fantasy__
3989,练习曲（No.20） 考级,莱蒙,LXQ_No_20__KJ
3990,最终幻想FF6  Terra ,最终幻想,ZZHXFF6__Terra_
3991,异邦人-韩剧《对不起，我爱你》插曲,韩剧《对不起，我爱你》,YBR_HJ_DBQ_WAN_CQ
3992,星座 ,动漫影视,XZ_
3993,甜梦园舞曲,贝多芬-beethoven,TMYWQ
3994,十级-A大调奏鸣曲-舒伯特,舒伯特,SJ_ADDZMQ_SBT
3995,月亮代表我的心,翁清溪,YLDBWDX
3996,拜厄钢琴基本教程第045条,《拜厄》钢琴基本教程,BEGQJBJCD045T
3997,波罗涅兹舞曲（巴赫初级钢琴曲全集17）,巴赫,BLNZWQ_BHCJGQQQJ17_
3998,没有如果 电视剧配乐版,梁静茹,MYRG_DSJPLB
3999,仙剑3主题-stvenLi,动漫,XJ3ZT_stvenLi
4000,欢乐中国节,未知,HLZGJ
4001,铁臂阿童木 游戏音乐,铁臂阿童木,TBATM_YXYL
4002,单簧管与钢琴1,yuge1992,DHGYGQ1
4003,小汤第一册(22军号响),约翰 . 汤普森,XTDYC_22JHX_
4004,最终幻想9 城镇背景,最终幻想,ZZHX9_CZBJ
4005,那年夏天,许飞,NNXT
4006,可爱不可爱,方力申,KABKA
4007,浪漫手机,周杰伦,LMSJ
4008,Yasashisa no Shouzou,影视,Yasashisa_no_Shouzou
4009,c小调叙事曲,leeyang521,CXDXSQ
4010,夜莺的歌,清代皇帝,Y_DG
4011,白色圣诞（White Christmas）,圣诞歌曲,BSSD_White_Christmas_
4012,夜的钢琴曲五,石进,YDGQQW
4013,BWV847前奏曲-十二平均律（巴赫）,巴赫,BWV847QZQ_SEPJL_BH_
4014,飞雪玉花（秦时明月OST插曲，钢琴版）,影视,FXYH_QSMYOSTCQ_GQB_
4015,红莲之弓矢（触手猴版，转自网上）,触手猴,HLZGS_CSHB_ZZWS_
4016,梁祝（钢琴版）,陈刚,LZ_GQB_
4017,secret base（那朵花）,动漫影视,Secret_base_NDH_
4018,杜兰的微笑（克莱德曼）,理查德.克莱德曼,DLDWX_KLDM_
4019,约翰.汤普森现代钢琴教程2（大汤2）_18星光圆舞曲,约翰.汤普森,YH_TPSXDGQJC2_DT2__18XGYWQ
4020,虫儿飞,郑伊健,CEF
4021,友情之旋律,Gundam Seed,YQZXL
4022,[o^T士]背叛的晚霞,动漫影视,O_TS_BPDWX
4023,《图画展览会-漫步主题1》-穆索尔斯基,穆索尔斯基,THZLH_MBZT1__MSESJ
4024,夢中婚禮,夢中婚禮,X_Y
4025,空留恋,嗜血的蝴蝶姬Y,KLL
4026,Fantasia's Lullaby,Kevin Kern,Fantasia_s_Lullaby
4027,Ribbonized（Yiruma.李闰珉《P.N.O.N.I》）,Yiruma.李闰珉,Ribbonized_Yiruma_LR__P_N_O_N_I__
4028,回来我的爱,阳一,HLWDA
4029,向左走_ 向右走,梁咏琪,XZZ__XYZ
4030,暧昧,天心琴,M
4031,エルフェリ`ト`Lilium,动漫影视,Lilium
4032,手心的太阳 - 弹唱版,张韶涵,SXDTY___DCB
4033,Dream,蓝幻影麒麟,Dream
4034,回赠墨香――春墨回香,血腥残阳,HZMXDDCMHX
4035,月亮代表我的心,邓丽君,YLDBWDX
4036,5-琶音 - B大调属七和弦琶音 考级,考级曲目,PY___BDDSQHXPY_KJ
4037,a小调琶音 考级,考级曲目,AXDPY_KJ
4038,秋梧桐,杨靓,QWT
4039,我的Angel（间奏钢琴solo）,蒋易,WDAngel_JZGQsolo_
4040,小汤一琴谱（部分）(雷格泰姆舞),约翰 . 汤普森,XTYQP_BF__LGTMW_
4041,芭蕾舞 天鹅湖 第一幕 村姑独舞1,柴可夫斯基,BLW_TEH_DYM_CGDW1
4042,Melodies Of Life 原版钢琴谱,植松伸夫,Melodies_Of_Life_YBGQP
4043,哈农之新玩法-冰岛的雨季,哈农,HNZXWF_BDDYJ
4044,炫技曲第三首（非纯粹炫技性曲子）,梦的世界,JQDSS_FCC_JXQZ_
4045,《溢爱》,食灵零,YA_
4046,GOOD MORNING,灵韵,GOOD_MORNING
4047,memor回忆降E调歌谱,莎拉布莱曼,MemorHYJEDGP
4048,Forgiven,Within Temptation,Forgiven
4049,约翰·汤普森现代钢琴教程2（大汤2）_35练习曲,约翰.汤普森,YH_TPSXDGQJC2_DT2__35LXQ
4050,魔塔主题mid――Monster Dance,影视,MTZTmidDDMonster_Dance
4051,贝古依奈的出发,理查德·克莱德曼,BGYNDCF
4052,三个人的时光,吴欣睿,SGRDSG
4053,小奏鸣曲,彩云追月,XZMQ
4054,Moonlight,S.E.N.S,Moonlight
4055,远き日の思い出,动漫影视,Y_R_S_C
4056,来生缘-XP版,刘德华,LSY_XPB
4057,悲伤的回忆,p村剑心,BSDHY
4058,在榕树下哭泣,心の瑶琴,Z_SXKQ
4059,一千年以前,林俊杰,YQNYQ
4060,梦幻模拟战 - Langrisser 5《Σ-066(SIGMA)》,游戏,MHMNZ___Langrisser_5___066_SIGMA__
4061,第五钢琴协奏曲 -第二乐章,贝多芬-beethoven,DWGQXZQ__DELZ
4062,四季歌C,佚名,SJGC
4063,北极星的眼泪-（微笑PASTA片尾曲）,影视,BJXDYL__WXPASTAPWQ_
4064,彩虹（演奏版，周杰伦）,周杰伦,CH_YZB_ZJL_
4065,依然黑白键,世界名曲,YRHBJ
4066,G大调即兴曲(Op.90_No.3),舒伯特,GDDJXQ_Op_90_No_3_
4067,海之梦――带指法（To 倩倩~）,Ku.Klux.Klan,HZMDDDZF_To_____
4068,土耳其进行曲（复调）,莫扎特,TEQJXQ_FD_
4069,《过云雨》钢琴独奏版,张敬轩,GYY_GQDZB
4070,Love Life幻想曲,周杰伦,Love_LifeHXQ
4071,Narcissu inst,narcissu,Narcissu_inst
4072,彗星（BLEACH的主题曲）,未知分类,X_BLEACHDZTQ_
4073,大城小爱-雷丁版,王力宏,DCXA_LDB
4074,魂斗罗背景音乐,魂斗罗,HDLBJYL
4075,中华民国颂,刘家昌,ZHMGS
4076,每个花心男人背后都有一个最爱的女人__致LH,blackfrog,MGHXNRBHDYYGZADNR__ZLH
4077,C大调 Lilium片段,动漫影视,CDD_LiliumPD
4078,揉四白穴（四手联弹）,综艺其他,RSBX_SSLD_
4079,十四番的目标,名侦探柯南,SSFDMB
4080,孩子们的哈农琴谱完整版（基本练习1、2指）,未知,HZMDHNQPWZB_JBLX1_2Z_
4081,爱的主旋律,卢彦丞,ADZXL
4082,梦幻模拟战 - Langrisser 4 BGM 29,游戏,MHMNZ___Langrisser_4_BGM_29
4083,开始,曹轩宾,KS
4084,我的心好冷,sara,WDXHL
4085,《镜花水月》,潇洒星空,JHSY_
4086,蓝色多瑙河（简易视奏版）,小约翰·施特劳斯,LSD_H_JYSZB_
4087,写给自己的歌,未知,XGZJDG
4088,星の扉,Gundam Seed,X__
4089,爷爷泡的茶（选自2002年专辑《八度空间》）,周杰伦,YYPDC_XZ2002NZJ_BDKJ__
4090,孩子快抓住妈妈的手,音乐作坊,HZKZZMMDS
4091,孩子们的舞蹈――四,黑键,HZMDWDDDS
4092,黑猫 IN 世界の歌,动漫影视,HM_IN_SJ_G
4093,火影插曲Evening,火影忍者,HYCQEvening
4094,错爱,FryderykRay,CA
4095,接受,梁静茹,JS
4096,好好恋爱,方力申,HHLA
4097,Ashita na,通灵王,Ashita_na
4098,你真的走了,冰琪,NZDZL
4099,声声慢,风花雨露,SSM
4100,Rain and Tears(升八度完整）,林文信,Rain_and_Tears_SBDWZ_
4101,妖怪の山 mysterious mountain,东方project ZUN,YG_S_mysterious_mountain
4102,口袋的天空,张韶涵,KDDTK
4103,升F大调夜曲,肖邦-chopin,SFDDYQ
4104,c 小调夜曲,京寒,C_XDYQ
4105,流沙,陶,LS
4106,阿拉贝斯克14章节,理查德·克莱德曼,ALBSK14ZJ
4107,蛤蟆爱天鹅 戴尚曲成名曲,戴尚辉,G_ATE_DSQCMQ
4108,Aimer-法国音乐剧《罗密欧与朱丽叶》主题曲,Gérard Presgurvic,Aimer_FGYLJ_LMOYZLY_ZTQ
4109,叙事曲,世界名曲,XSQ
4110,<追忆>,lokong,ZY_
4111,拜厄钢琴基本教程第096条,《拜厄》钢琴基本教程,BEGQJBJCD096T
4112,校服的裙摆-(伴奏),杉籽伽,XFDQB__BZ_
4113,二部创意曲,风花雨露,EBCYQ
4114,世界はまわると言うけれど-柯南片尾曲,Garnet Crow,SJ_____Y_____KNPWQ
4115,乱马小插曲,动漫影视,LMXCQ
4116,20th Century Fox Fanfare,影视,Th_Century_Fox_Fanfare
4117,听，琴房外下着雨,Chopinist,T_QFWXZY
4118,G大调前奏曲,肖邦-chopin,GDDQZQ
4119,快乐的人们,理查德·克莱德曼,KLDRM
4120,我想我是海-(伴奏谱),唐磊,WXWSH__BZP_
4121,鼓浪屿之波,钟立民,GLYZB
4122,牧童短笛-我学钢琴,贺绿汀,MTDD_WXGQ
4123,可爱的蓝精灵（动漫，钢琴谱）,未知,KADLJL_DM_GQP_
4124,欢乐颂-克莱德曼演奏版本,理查德·克莱德曼,HLS_KLDMYZBB
4125,相思雨,中国名曲,XSY
4126,映山红-复调乐曲 考级,傅庚辰,YSH_FDLQ_KJ
4127,情人,beyond,QR
4128,FLOOD TIME,ABRSM,FLOOD_TIME
4129,土耳其进行曲（爵士版，钢琴谱）,未知,TEQJXQ_JSB_GQP_
4130,fly me to the moon,爵士音乐,Fly_me_to_the_moon
4131,最终幻想2 城镇背景,最终幻想,ZZHX2_CZBJ
4132,小谐谑曲,Antoniu,XX_Q
4133,Where Paths Meet,Kevin Kern,Where_Paths_Meet
4134,最终幻想水晶序曲,最终幻想,ZZHXSJXQ
4135,初音ミク原创曲---初次尝试= =&#10084,syb,CY__YCQ___CCCS_____10084
4136,《神秘园之歌》钢琴谱全集(06 Serenade To Spring),神秘园,SMYZG_GQPQJ_06_Serenade_To_Spring_
4137,小汤第一册上(05火车),约翰 . 汤普森,XTDYCS_05HC_
4138,多来A梦,灏辰,DLAM
4139,对不起（选自2001年专辑《范特西 Fantasy》）,周杰伦,DBQ_XZ2001NZJ_FTX_Fantasy__
4140,爱到万年（灵珠片头曲）,动漫影视,ADWN_LZPTQ_
4141,Croatian Rhapsody 克罗地亚狂想曲（原版）,</a>,Croatian_Rhapsody_KLDYKXQ_YB_
,,,
4142,D大调卡农原版,约翰．帕赫贝尔,DDDKNYB
4143,G大调分解和弦 考级,考级曲目,GDDFJHX_KJ
4144,扒垃圾的小孩子,邓裕霖,BLJDXHZ
4145,小红帽,巴西民歌,XHM
4146,节拍器,蔡依林,JPQ
4147,Risin sun,东方神起,Risin_sun
4148,花町物语-序曲,动漫影视,H_WY_XQ
4149,祝你平安,孙悦,ZNPA
4150,Qui a le droit.,Patrik Bruel,Qui_a_le_droit_
4151,钢琴奏鸣曲3-1,pai_3.14159,GQZMQ3_1
4152,冤罪Trauer,动漫影视,YZTrauer
4153,“我”第一乐章――我真,真野惠里菜,W_DYLZDDWZ
4154,酒红色的探戈,heimoxing,JHSDTG
4155,6-琶音-d小调减七和弦琶音 考级,考级曲目,PY_dXDJQHXPY_KJ
4156,拜厄 95,拜厄,BE_95
4157,宠物小精灵 - 七夜许愿星OST - ダイアンの莩证,宠物小精灵,CWXJL___QYXYXOST_________Z
4158,海盗 - 弹唱版,蔡依林,HD___DCB
4159,车尔尼599第023条,车尔尼,CEN599D023T
4160,小圆舞曲,梦的世界,XYWQ
4161,祝你生日快乐F,佚名,ZNSRKLF
4162,I loves you_Porgy（我爱你，波吉，爵士版）,George Gerswin,I_loves_you_Porgy_WAN_BJ_JSB_
4163,Fats Waller Medley 2（胖子沃勒的杂凑曲2，爵士版）,Fats Waller ,Fats_Waller_Medley_2_PZWLDZCQ2_JSB_
4164,失乐园,世界名曲,SLY
4165,我和你（北京奥运会主题曲）,刘欢,WHN_BJAYHZTQ_
4166,魔兽世界酒馆,暴雪,MSSJJG
4167,新白娘子传奇--PY版,新白娘子传奇,XBNZCQ__PYB
4168,Hirari_ Hirari ,初音未来,Hirari__Hirari_
4169,天南地北：江南水天相映景,123456789,TNDB_JNSTXYJ
4170,宜春令 bB大调探戈舞曲Op6.12（中国风）,jerry5743,YCL_bBDDTGWQOp6_12_ZGF_
4171,名商娇履--Always,影视,MSJL__Always
4172,我们的考级曲子（未完）,其它分类,WMDKJQZ_WW_
4173,约翰·汤普森简易钢琴教程2（小汤2）_14健身操,约翰 . 汤普森,YH_TPSJYGQJC2_XT2__14JSC
4174,C大调练习曲No.2,9632587410,CDDLXQNo_2
4175,当猥琐男遇见鬼-雷死不偿命第一弹,钢琴叫兽,D_SNYJG_LSBCMDYD
4176,鸟之诗回想曲,鸟之诗,NZSHXQ
4177,あなたを想いたい (Routes),动漫影视,X_____Routes_
4178,月亮代表我的心,邓丽君,YLDBWDX
4179,冥想曲,马斯涅,XQ
4180,爷爷泡的茶（弹唱版，选自2002年专辑《八度空间》）,周杰伦,YYPDC_DCB_XZ2002NZJ_BDKJ__
4181,君が代,日本,J_D
4182,Blossom on the Wind,Kevin Kern,Blossom_on_the_Wind
4183,魔术先生（弹唱版，选自2008年专辑《魔杰座》）,周杰伦,MSXS_DCB_XZ2008NZJ_MJZ__
4184,Under Happiness  《豪杰春香》插曲,豪杰春香,Under_Happiness___HJCX_CQ
4185,疯了吗（完整版）,宋智恩,FLM_WZB_
4186,迟到,龚季城,CD
4187,宠物小精灵 - 沧海的王子 - マナフィのために,宠物小精灵,CWXJL___CHDWZ___________
4188,Crucify My Love,X-JAPAN,Crucify_My_Love
4189,寂寞沙洲冷,小刚,JMSZL
4190,不能说的秘密--串烧,周杰伦,BNSDMM__CS
4191,竹林细语,快乐甜筒,ZLXY
4192,沙巴女王-清代皇帝制谱,劳伦特,SBNW_QDHDZP
4193,威廉皇帝进行曲 考级,克拉克,WLHDJXQ_KJ
4194,超级练习曲 风景画,李斯特,CJLXQ_FJH
4195,clannad,游戏,Clannad
4196,东方鬼畜妹-四手演奏版,动漫影视,DFGXM_SSYZB
4197,斗琴2-精编版,影视,DQ2_JBB
4198,下雨时你会想起谁,石进,XYSNHXQS
4199,Pearls of Joy,Kevin Kern,Pearls_of_Joy
4200,再见不是朋友 (激情演奏),邓丽欣,ZJBSPY__JQYZ_
4201,￥紊倥（％紊倥）,壳之少女,W___W__
4202,信天游 考级,考级,XTY_KJ
4203,京韵 Beijing Tune (苏三起解),民乐,JY_Beijing_Tune__SSQJ_
4204,箫独奏曲：竹清,竹昔,DZQ_ZQ
4205,刺鸟-FIR-演奏版,飞儿乐团,CN_FIR_YZB
4206,Les Marionnettes（出自电影《维洛尼卡的双重生命》）,影视,Les_Marionnettes_CZDY_WLNKDSZSM__
4207,有一个地方 文武贝原创,文武贝,YYGDF_WWBYC
4208,拨弦拨尔卡,约翰.施特劳斯,BXBEK
4209,任我泪水流淌,亨德尔,RWLSLT
4210,冬,钢琴基础教程,D
4211,伪恋OP,claris,WLOP
4212,永久保存,陈柏宇,YJBC
4213,谢谢,潘玮柏,XX
4214,AKB48 - 初日 钢琴独奏（AKB48 Show 竹内美宥版）,竹内美宥,AKB48___CR_GQDZ_AKB48_Show_ZNM_B_
4215,约定（总谱）,周惠,YD_ZP_
4216,风逝的记忆,蕾诺丝,FSDJY
4217,月亮的眼泪,moon xing,YLDYL
4218,噢！我的吉他,世界名曲,WDJT
4219,残酷月光,林宥嘉,CKYG
4220,waiting....,BOA,Waiting____
4221,きみのこえ,动漫影视,
4222,贝多芬：第七号交响曲第一乐章,贝多芬,BDF_DQHJXQDYLZ
4223,车尼尔On.821 No.2,车尼尔,CNEOn_821_No_2
4224,民歌主题回旋曲1（巴托克）,巴托克,MGZTHXQ1_BTK_
4225,Zero Hour,尾浦游纪,Zero_Hour
4226,阴天转情,5895464,YTZQ
4227,白夜病毒,liuzhuan,BYBD
4228,兄弟-钢之炼金术师 uQ版,钢之炼金术师,XD_GZLJSS_uQB
4229,千Q（LEAF PIANO COLLECTION VOL.1）,Leaf,QQ_LEAF_PIANO_COLLECTION_VOL_1_
4230,陪我歌唱,苏打绿,PWGC
4231,我们的祖国是花园,中国名曲,WMDZGSHY
4232,远方的寂静（林海《远方的寂静》）,林海,YFDJJ_LH_YFDJJ__
4233,极度放松睡眠音乐-童年的回忆,罗大佑,JDFSSMYL_TNDHY
4234,车尔尼599 NO.20,车尔尼,CEN599_NO_20
4235,林峰《幼稚完》,林峰,LF_YZW_
4236,爱言叶,初音未来,AYY
4237,樱花草,sweety,YHC
4238,像星星一样(来自星星的你.OST2),K.Will,XXXYY_LZXXDN_OST2_
4239,月光下的凤尾竹,世界名曲,YGXDFWZ
4240,雨中印记 超级简单版,戴尚辉,YZYJ_CJJDB
4241,小进行曲,梦的世界,XJXQ
4242,All by myself,未知分类,All_by_myself
4243,醉孤舟-中国民谣New-Age,蓝的调,ZGZ_ZGMYNew_Age
4244,卡农-演奏版-Geogre winston,帕赫贝尔-Pachelbel,KN_YZB_Geogre_winston
4245,墨香（改版）,韩日剧,MX_GB_
4246,上海音乐学院钢琴考级2012 七级 拉德茨基进行曲,拉德茨基,SHYLXYGQKJ2012_QJ_LDCJJXQ
4247,中国民歌儿童钢琴曲集102首(073 杨柳青),未知,ZGMGETGQQJ102S_073_YLQ_
4248,风铃,宫崎君猫,FL
4249,预谋,许佳慧,YM
4250,懒惰的玛丽,无,LDDML
4251,冥想曲,天心琴,XQ
4252,小汤第一册中(19弗吉尼 我的故乡),约翰 . 汤普森,XTDYCZ_19FJN_WDGX_
4253,天空之城（华丽效果版）,久石让,TKZC_HLXGB_
4254,三人纺车舞 (Autria Dance),奥地利民间舞曲,SRFCW__Autria_Dance_
4255,e小调音阶 考级 考级,考级曲目,EXDYJ_KJ_KJ
4256,中国民歌儿童钢琴曲集102首(063 The Blooming Flower of Happiness),未知,ZGMGETGQQJ102S_063_The_Blooming_Flower_of_Happiness_
4257,I Start A Joke 弹唱,Bee Gees,I_Start_A_Joke_DC
4258,感谢你用心爱我,彭羚,GXNYXAW
4259,Just for U,Apple Shane,Just_for_U
4260,风与花之歌,游戏,FYHZG
4261,Silencio de Parc Guell,久石让,Silencio_de_Parc_Guell
4262,《明日世界终结时》,张学友,MRSJZJS_
4263,don't write me off,Hugh Grant,Don_t_write_me_off
4264,祝我生日快乐,温岚,ZWSRKL
4265,Fantasia（西村由纪江）,西村由纪江,Fantasia_XCYJJ_
4266,落叶15（根据林文信教材编写）,未知,LY15_GJLWXJCBX_
4267,5-琶音 - G大调属七和弦琶音  考级,考级曲目,PY___GDDSQHXPY__KJ
4268,另类圆号，钢琴伴奏（总谱）,yuge1992,LLYH_GQBZ_ZP_
4269,向左走向右走,梁咏琪,XZZXYZ
4270,约翰.汤普森简易钢琴教程4（小汤4）_玩高空秋千的人,约翰·汤普森,YH_TPSJYGQJC4_XT4__WGKQQDR
4271,Beat Hit ! 数码2合体,动漫影视,Beat_Hit___SM2HT
4272,一颗开花的树,雪凌球,YKKHDS
4273,黄金城PCC  口袋怪兽金银版,游戏,HJCPCC__KDGSJYB
4274,甜心,至上励合,TX
4275,その笑颜_Wに见せて（Your Smile）（NewS 山下智久 锦户亮）,山下智久,XY_W_J___Your_Smile__NewS_SXZJ_JHL_
4276,黑色的苹果第1乐章,叶语,HSDPGD1LZ
4277,生化危机《爆发》,游戏,SHWJ_BF_
4278,将来的歌 -（无与伦比）,周杰伦,JLDG___WYLB_
4279,钢炼ED2――Let it out,动漫影视,GLED2DDLet_it_out
4280,love you one more time before I leave you ,512512,Love_you_one_more_time_before_I_leave_you_
4281,魔理莎和六个蘑菇,东方project,MLSHLGMG
4282,蔷薇列车(钢琴+管弦混音),花之祭,Q_LC_GQ_GXHY_
4283,新白娘子传奇--纠缠,新白娘子传奇,XBNZCQ__JC
4284,《舍不得》钢琴演奏版――精编,弦子,SBD_GQYZBDDJB
4285,外国儿童歌曲钢琴曲集111首(101 温柔的爱),未知,WGETGQGQQJ111S_101_WRDA_
4286,only you,未知分类,Only_you
4287,风之光景（西村由纪江）,西村由纪江,FZGJ_XCYJJ_
4288,星空-Swenl特别版,理查德·克莱德曼,XK_SwenlTBB
4289,日夜想你,钟嘉欣,RYXN
4290,Sarabande,神秘园乐队,Sarabande
4291,Prince of Denmark's march,n/a,Prince_of_Denmark_s_march
4292,为一组现代四手联弹做的序曲,齐少凡,WYZXDSSLDZDXQ
4293,地狱少女OST(埋火-Mitsuganae),"高梨康治	",DYSNOST_MH_Mitsuganae_
4294,summer sunshine,Boys be,Summer_sunshine
4295,拉骆驼 考级,陈能济,LLT_KJ
4296,c小调练习曲,心兰,CXDLXQ
4297,5-琶音 - A大调属七和弦琶音 考级,考级曲目,PY___ADDSQHXPY_KJ
4298,Ray of Illuminati（极速版）,游戏,Ray_of_Illuminati_JSB_
4299,断罪之花,动漫影视,DZZH
4300,恋香主题曲《原来爱》,白吉胜,LXZTQ_YLA_
4301,赐给你的爱（打击乐版）,快乐的猪,CGNDA_DJLB_
4302,月夜相思曲,jerry5743,YYXSQ
4303,Love Is Blue,林文信,Love_Is_Blue
4304,绿叶对根的情意,谷建芬,LYDGDQY
4305,浪漫手机（选自2005年专辑《十一月的肖邦》）,周杰伦,LMSJ_XZ2005NZJ_SYYDXB__
4306,黄河颂,冼星海,HHS
4307,小前奏曲,彩云追月,XQZQ
4308,死神ED12-Daidai,动漫影视,SSED12_Daidai
4309,Ending,情书,Ending
4310,约翰.汤普森简易钢琴教程1（小汤1）_08小矮人舞曲,约翰 . 汤普森,YH_TPSJYGQJC1_XT1__08XARWQ
4311,巴赫第二组曲中《嬉戏曲》,巴赫,BHDEZQZ__XQ_
4312,六月的雨-m咖啡版,仙剑奇侠传,LYDY_mKFB
4313,孩子们的哈农琴谱完整版（基本练习3、4指）,未知,HZMDHNQPWZB_JBLX3_4Z_
4314,贝多芬《月光》第一乐章,贝多芬,BDF_YG_DYLZ
4315,凉宫春日super driver,影视,LGCRsuper_driver
4316,遗忘,SilverRay,YW
4317,美丽的孔雀河,涂若望同学,MLDKQH
4318,冰城黄金大道圆舞曲,leeyang521,BCHJDDYWQ
4319,【东方project】Help me_ ERINNNNNN!!,东方project,DFproject_Help_me__ERINNNNNN__
4320,降A大调第六练习曲,PARROT186,JADDDLLXQ
4321,魔卡少女樱－悲しいな(总谱),魔卡少女樱,MKSNY_B____ZP_
4322,past_the_stargazing_season,未知,Past_the_stargazing_season
4323,一起飞（奥运歌曲，钢琴弹唱版）,谭晶 阎维文,YQF_AYGQ_GQDCB_
